,_id,text,metadata
6,train91,who was the lady in sons of anarchy,
47,train1227,who plays the wife on last man standing,
58,train1406,what is another term for kings or queens who hold total power,
60,train1471,who is the author of the story how my brother leon brought home a wife,
64,train1595,who was the mom on father knows best,
68,train1745,who played brian in father of the bride,
88,train2447,who plays simba's mom in the lion king,
103,train2762,who played doug's sister in king of queens,
108,train2841,who plays serena's little brother in gossip girl,
139,train3973,who played carrie's boss on king of queens,
149,train4316,who plays king richard in the white queen,
150,train4318,who played the father in father of the bride,
167,train4856,who plays the little boy in maid in manhattan,
180,train5171,who played hank pym's daughter in ant man,
199,train6153,who sang i will follow him in sister act,
209,train6365,who wrote you ain't woman enough to take my man,
221,train6643,who played max when he turned into a girl,
227,train6782,who plays blair's father in gossip girl,
235,train6862,who is riley's mom on baby daddy,
240,train7127,who sings i am your lady and you are my man,
242,train7185,who plays trina sister on real husbands of hollywood,
295,train8962,who played deacon palmer on king of queens,
311,train9449,who played robert de niro's wife in godfather 2,
323,train9910,who plays matt leblanc's mother in man with a plan,
342,train10735,who plays abigail father in the good witch,
357,train11154,purpose of the man who mistook his wife for a hat,
366,train11491,who played michael corleone italian wife in the godfather,
385,train12193,who sang when a man loves a woman before michael bolton,
411,train12874,who is the old man in waiting on a woman,
439,train13843,who plays kalinda's husband on the good wife,
455,train14198,who sings the song dude looks like a lady,
461,train14334,who is the leader has served as the chief minister of his or her state for four consecutive terms,
463,train14357,who played the teenage daughter in uncle buck,
470,train14571,who won sa re ga ma pa lil chams 2017,
483,train14998,who played maid marian in robin hood prince of thieves,
570,train17334,who is the princess in prince of persia,
588,train17896,who plays bonnie's mom on baby daddy,
589,train17952,who is the mean guy in the twisted sister videos,
644,train19993,who plays aunt may in the amazing spider man,
652,train20289,who sang hello mother hello father here i am at camp granada,
655,train20381,who played in when a man loves a woman,
656,train20403,who sang you're a lady i'm a man,
658,train20450,who played prince humperdinck in the princess bride,
666,train20745,who played mr boynton on our miss brooks,
694,train21800,main tera boyfriend tu meri girlfriend song movie name,
696,train21832,who played annie in father of the bride,
726,train22765,who does the voice of peter's mom on family guy,
765,train24097,who translate letters from a father to his daughter in hindi,
771,train24272,who sent his daughter and son to sri lanka to spread bouddha religion,
773,train24316,who is the little girl in the movie the last boy scout,
788,train24657,who did prince write the most beautiful girl for,
789,train24687,who wins prom king and queen on glee season 2,
825,train25657,who wrote the song he stopped loving her today,
839,train26244,who plays barney's father on how i met your mother,
850,train26748,girl who played dodie on my three sons,
856,train26929,who plays lily's dad in how i met your mother,
860,train27114,who are the king and queen of scotland,
876,train27558,who plays danny heffernan on king of queens,
885,train27878,who played aunt ester on sanford and son,
888,train27967,who played the daughter in father knows best,
940,train29787,who killed the witch king in the book,
950,train30097,what is the princess name in mario brothers,
961,train30386,who plays the girl robot in bicentennial man,
974,train30727,who voiced prince naveen in the princess and the frog,
990,train31258,who plays the husband in the other woman,
1008,train32100,what is the name of the actor playing second leading man in strong woman do bong soon,
1017,train32417,who is the girl band in boy meets world,
1032,train32956,who plays the down syndrome girl on family guy,
1038,train33080,who plays nick brody on brothers and sisters,
1063,train33898,who sings the theme song to king of queens,
1077,train34265,who plays doug's mother on king of queens,
1093,train34823,who plays kate hudson brother in bride wars,
1096,train34985,who sings man i feel like a woman,
1121,train36219,who played bette midler's son in first wives club,
1124,train36454,who wrote the music for 7 brides for 7 brothers,
1131,train36774,the lady whom lanval meets in the meadow warns him that he will never see her again if,
1164,train37746,man in the bible who sacrificed his daughter,
1174,train37975,who played elliot's sister in mr robot,
1188,train38390,who starred in the original father of the bride,
1197,train38714,two gentlemen of verona who is sylvia what is she,
1216,train39297,who wrote the song mother nature's son,
1227,train39598,who is tanyas husband in real housewives of cheshire,
1251,train40366,who played jazz's wife on fresh prince,
1266,train40779,who transformed himself into a golden deer to lure sita,
1274,train41053,who disguised herself as a man to fight in the war,
1277,train41195,who sang is she really going out with him,
1296,train41972,who played don corleone's daughter in the godfather,
1299,train42083,who plays dyson's son on lost girl,
1311,train42457,who plays alicia's brother in the good wife,
1312,train42460,who plays sarah walker in brothers and sisters,
1347,train43578,who sang your mama don't dance and your daddy don't rock and roll,
1369,train44463,who played aunt ethel on sanford and son,
1390,train45467,who plays the dad in princess protection program,
1441,train47597,who played chips girlfriend polly on my three sons,
1493,train49142,who is the football player who killed his girlfriend,
1504,train49439,who wrote her father didn't like me anyway,
1512,train49823,who plays the grandma in grandma's boy,
